NEGATIVE	#Merck ( $MRK) 2015 Net Income Decreases; Proposes To Increase Dividend. Read more: https://t.co/b6l2yyLWbg
POSITIVE	Is #Merck ( $MRK)'s Keytruda Headed for Extended Dominance in Immunotherapy Drugs Race?. Read more: https://t.co/E5Xgi037ro
POSITIVE	Associate #Scientist Engineering Requirement @ #Merck | #USA #BS in #Chemical #Engineering #Biotech #Jobs https://t.co/uNbLuS0MXJ
POSITIVE	Germany's #Merck ( $MRK) Boosted by Life Sciences. Read more: https://t.co/3vxGeCmKIg
POSITIVE	RT @KariFassbender: Follow @minsungseankim's keynote at the #pitchday for the #merck #accelerator LIVE ON #Periscope  https://t.co/V7VPpxMk…
POSITIVE	NEW JOB: West Point PA - Manager Operations - Merck  Co. Inc. Kenilworth N.J. U.S.A. know... https://t.co/R9FNIOAdDc #Merck #hiring #jobs
POSITIVE	RT #Merck scientists identify new combinatorial drugs to combat MRSA https://t.co/apyxvVfp1t
POSITIVE	RT @merckgroup: "We are a different company from what we were 10 years ago." #Merck CEO Kley says at our annual press conference. https://t…
NEUTRAL	RT @Kindhearted2015: How about #Vaccine Manufacturers like #Merck? It's acceptable that they have ZERO liability for a #vaccineinjury?  htt…
NEGATIVE	RT @mastersrock222: #Sanofi and #Merck pull the plug on European vaccines venture  #pharmacompass    https://t.co/JOftMTcL6F https://t.co/u…
POSITIVE	#Merck CEO Karl-Ludwig Kley welcomes journalists to his last annual press conference https://t.co/L06Q6TYk0u
POSITIVE	#Merck ( $MRK) Says FDA Accepts Supplemental Biologics License Application For Keytruda . Read more: https://t.co/9kAK6MTIOX
NEGATIVE	RT @susan_welch7: https://t.co/kr62sxjDOe 'Vaccine booster industry booming. Did #Merck lie about #MMR effectiveness?' #CDCwhistleblower
NEGATIVE	RT @susan_welch7: https://t.co/kr62sxjDOe 'Vaccine booster industry booming. Did #Merck lie about #MMR effectiveness?' #CDCwhistleblower
POSITIVE	RT @pharma_sector: #Merck ( $MRK) links up with University of Buea, Cameroon to accelerate treatment for river blin... Read more: https://t…
POSITIVE	#sparkcuriosity with Puelmapu students in Santiago de Chile. Those experiences will be also in our minds. #Merck https://t.co/i3HjM0bejB
NEUTRAL	#Merck #manufacturing reshuffle - #PharmaNews https://t.co/PvCJWW2Iz6
NEUTRAL	SELL #Merck &amp; Company, $MRK. Target: 52.28 (-0.15%).  https://t.co/3SOFJL7qz7  #trading #stocks #investing
NEGATIVE	Pharmalot Pharmalittle: #Gilead &amp; #Merck battle over #hepatitis C patents  #pharmacompass   https://t.co/6vuHylMvHz https://t.co/JMK3YEocrv
POSITIVE	#Merck ( $MRK) KGaA aims for 2016 earnings growth thanks to takeover. Read more: https://t.co/NE71AnVCyV
NEUTRAL	Next: Fedor from Healthprint #Merck #Accelerator https://t.co/hzTwuUFjGk
POSITIVE	XLHEALTH: RT KariFassbender: Q&amp;A session Medic_sen by our elaborated jury merckgroup #pitchday #merck #accelerator… https://t.co/GSHYuwQuuK
POSITIVE	#Merck CEO Kley: My successor Stefan Oschmann is the right person at the right place and at the right time.
NEGATIVE	$MRK:US Gilead Tries to Block Merck''s Patent Claims on Hepatitis Drugs #MERCK &amp; CO  https://t.co/q3e3IRE5gS #SP500
POSITIVE	Johannes Baillou, Chairman of the board of partners of #Merck KG visited #iBET_Portugal. https://t.co/HS7QrqF8B5
POSITIVE	#Merck #accelerator #pitch#day starts with the keynote by Min-Sung @XLHEALTH https://t.co/BgriZ9KmC5
NEGATIVE	$MRK #MERCK KGAA Healthcare remains weak, Life Science becomes the new shinin... https://t.co/RT3Z9yDB6m #stocks https://t.co/FVIq8eIYCW
NEGATIVE	@SenSanders Nor should pharmaceuticals like #Merck be allowed to treat patients deaths as my mother's on VIOXX like a mere typo, w/o remorse
POSITIVE	Startups get in contact with Merck internal project teams to learn one from another. #Merck #accelerator
POSITIVE	#Merck KGaA : Life Science Leader Merck Launches New Innovations at Pittcon 2016 https://t.co/5fvtztrMVv $MRK
POSITIVE	SGC and FAPESP co hosting this exciting event ahead of SGC Board meeting #SGC #merck #msd https://t.co/USDVfuiz2v
POSITIVE	Get a personal introduction to VCs #merck #accelerator @minsungseankim
POSITIVE	Sanofi Pasteur and MSD Known as #Merck ( $MRK) in the United States and Canada Announce Intent t... Read more: https://t.co/qOdO1L4gjS
POSITIVE	See how our new brand identity reflects transformation of #Merck into a global science &amp; technology company. https://t.co/dEHyy2X65o
POSITIVE	How to get VC: demonstrate deep knowledge of your market #Merck #accelerator @minsungseankim
NEGATIVE	Ending 20-year partnership, Sanofi and Merck close down joint vaccines venture https://t.co/m8OGZ3NkQw #merck #Sanofi #vaccine #pharma
POSITIVE	#Merck ( $MRK) KGaA aims for 2016 earnings growth thanks to takeover. Read more: https://t.co/O4LkcF8WhT
NEUTRAL	What Awaits #Merck ( $MRK) KGaA (MKGAF) this Earnings Season?. Read more: https://t.co/5SMYFLr0Y3
POSITIVE	Last pitch of the #pitchday #merck #accelerator: NanoWired https://t.co/4di3lUTqbk
NEGATIVE	#Gilead, #Merck Spar Over #Hepatitis C $1,000-Pill Royalties https://t.co/2sNerQP3Jf via @business
POSITIVE	Very excited to work with @theGiftedMom for 3 months in the #merck #accelerator #africa Meet them at #CeBIT2016  https://t.co/nfLEVSoFc9
